ticker,company_name,cik,adsh,form,fy,fp,period_end,filed_at,revenue,operating_income,net_income,diluted_eps,operating_cash_flow,capex,net_margin,operating_margin,free_cash_flow
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-12-079022,10-K,2011.0,FY,2011-12-31,2012-02-27,143688000000.0,,10254000000.0,,20476000000.0,8191000000.0,0.07136295306497412,,12285000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001157523-12-002551,10-Q,2012.0,Q1,2012-03-31,2012-05-04,38147000000.0,,3245000000.0,,4650000000.0,2160000000.0,0.08506566702492988,,2490000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001157523-12-004238,10-Q,2012.0,Q2,2012-06-30,2012-08-03,38546000000.0,,3108000000.0,,9509000000.0,4579000000.0,0.08063093446790848,,4930000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-12-449402,10-Q,2012.0,Q3,2012-09-30,2012-11-02,41050000000.0,,3920000000.0,,16160000000.0,7193000000.0,0.09549330085261876,,8967000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-13-087679,10-K,2012.0,FY,2012-12-31,2013-03-01,162463000000.0,,14824000000.0,,20950000000.0,9775000000.0,0.09124539125831728,,11175000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-13-199397,10-Q,2013.0,Q1,2013-03-31,2013-05-03,43867000000.0,,4892000000.0,,6055000000.0,2207000000.0,0.1115189094307794,,3848000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-13-317399,10-Q,2013.0,Q2,2013-06-30,2013-08-02,44693000000.0,,4541000000.0,,12911000000.0,4758000000.0,0.10160427807486631,,8153000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-13-423169,10-Q,2013.0,Q3,2013-09-30,2013-11-01,46541000000.0,,5053000000.0,,20737000000.0,7727000000.0,0.10857093745299844,,13010000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-14-078778,10-K,2013.0,FY,2013-12-31,2014-03-03,182150000000.0,,19476000000.0,,27704000000.0,11087000000.0,0.1069228657699698,,16617000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-14-180321,10-Q,2014.0,Q1,2014-03-31,2014-05-02,45453000000.0,,4705000000.0,,4928000000.0,2794000000.0,0.10351351945966163,,2134000000.0
